reg_lat,reg_lon,port_lat,port_lon
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,49.096625,140.261518
55.33333,86.08333,42.649665,130.80734
55.33333,86.08333,49.096625,140.261518
53.71556,91.42917,42.649665,130.80734
53.71556,91.42917,49.096625,140.261518
55.33333,86.08333,35.652697,119.649536
55.33333,86.08333,49.103522,140.333152
55.33333,86.08333,42.753071,133.075292
52.29778,104.29639,35.652697,119.649536
52.29778,104.29639,49.103522,140.333152
52.29778,104.29639,42.753071,133.075292
62.035454,129.675476,35.652697,119.649536
62.035454,129.675476,49.103522,140.333152
62.035454,129.675476,42.753071,133.075292
55.33333,86.08333,49.103522,140.333152
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,59.831566,30.501842
55.33333,86.08333,49.096625,140.261518
48.48271,135.08379,49.103522,140.333152
48.48271,135.08379,43.089051,131.879003
48.48271,135.08379,42.753071,133.075292
48.48271,135.08379,59.831566,30.501842
48.48271,135.08379,49.096625,140.261518
55.33333,86.08333,49.103522,140.333152
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,59.831566,30.501842
55.33333,86.08333,35.652697,119.649536
55.33333,86.08333,49.103522,140.333152
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,59.831566,30.501842
55.33333,86.08333,42.649665,130.80734
55.33333,86.08333,49.096625,140.261518
53.71556,91.42917,35.652697,119.649536
53.71556,91.42917,49.103522,140.333152
53.71556,91.42917,43.089051,131.879003
53.71556,91.42917,42.753071,133.075292
53.71556,91.42917,59.831566,30.501842
53.71556,91.42917,42.649665,130.80734
53.71556,91.42917,49.096625,140.261518
62.035454,129.675476,35.652697,119.649536
62.035454,129.675476,49.103522,140.333152
62.035454,129.675476,43.089051,131.879003
62.035454,129.675476,42.753071,133.075292
62.035454,129.675476,59.831566,30.501842
62.035454,129.675476,42.649665,130.80734
62.035454,129.675476,49.096625,140.261518
55.018803,82.933952,35.652697,119.649536
55.018803,82.933952,49.103522,140.333152
55.018803,82.933952,43.089051,131.879003
55.018803,82.933952,42.753071,133.075292
55.018803,82.933952,59.831566,30.501842
55.018803,82.933952,42.649665,130.80734
55.018803,82.933952,49.096625,140.261518
48.48271,135.08379,35.652697,119.649536
48.48271,135.08379,49.103522,140.333152
48.48271,135.08379,43.089051,131.879003
48.48271,135.08379,42.753071,133.075292
48.48271,135.08379,59.831566,30.501842
48.48271,135.08379,42.649665,130.80734
48.48271,135.08379,49.096625,140.261518
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,59.831566,30.501842
55.33333,86.08333,49.103522,140.333152
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,42.649665,130.80734
55.33333,86.08333,49.096625,140.261518
55.33333,86.08333,35.652697,119.649536
55.33333,86.08333,43.089051,131.879003
55.33333,86.08333,42.753071,133.075292
55.33333,86.08333,59.831566,30.501842
55.33333,86.08333,42.649665,130.80734
55.33333,86.08333,49.096625,140.261518
55.33333,86.08333,57.397756,21.546138
55.33333,86.08333,60.627489,28.567357
55.33333,86.08333,59.371124,28.614786
55.018803,82.933952,57.397756,21.546138
55.018803,82.933952,60.627489,28.567357
55.018803,82.933952,59.371124,28.614786
55.16444,61.436844,57.397756,21.546138
55.16444,61.436844,60.627489,28.567357
55.16444,61.436844,59.371124,28.614786
55.33333,86.08333,60.627489,28.567357
55.33333,86.08333,68.978906,33.067631
55.33333,86.08333,59.371124,28.614786
53.71556,91.42917,60.627489,28.567357
53.71556,91.42917,68.978906,33.067631
53.71556,91.42917,59.371124,28.614786
62.035454,129.675476,60.627489,28.567357
62.035454,129.675476,68.978906,33.067631
62.035454,129.675476,59.371124,28.614786
47.23135,39.72328,60.627489,28.567357
47.23135,39.72328,68.978906,33.067631
47.23135,39.72328,59.371124,28.614786
55.33333,86.08333,57.038262,24.061383
55.33333,86.08333,60.627489,28.567357
55.33333,86.08333,68.978906,33.067631
55.33333,86.08333,44.730138,37.779099
55.33333,86.08333,56.95897,24.094468
55.33333,86.08333,59.371124,28.614786
55.33333,86.08333,59.690523,28.4331
52.29778,104.29639,57.038262,24.061383
52.29778,104.29639,60.627489,28.567357
52.29778,104.29639,68.978906,33.067631
52.29778,104.29639,44.730138,37.779099
52.29778,104.29639,56.95897,24.094468
52.29778,104.29639,59.371124,28.614786
52.29778,104.29639,59.690523,28.4331
63.15166606,55.823496706,57.038262,24.061383
63.15166606,55.823496706,60.627489,28.567357
63.15166606,55.823496706,68.978906,33.067631
63.15166606,55.823496706,44.730138,37.779099
63.15166606,55.823496706,56.95897,24.094468
63.15166606,55.823496706,59.371124,28.614786
63.15166606,55.823496706,59.690523,28.4331
48.48271,135.08379,57.038262,24.061383
48.48271,135.08379,60.627489,28.567357
48.48271,135.08379,68.978906,33.067631
48.48271,135.08379,44.730138,37.779099
48.48271,135.08379,56.95897,24.094468
48.48271,135.08379,59.371124,28.614786
48.48271,135.08379,59.690523,28.4331
